Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust
Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.100
Swaziland,135,4.212,0.811,1.149,0.000,0.313,0.135
Uganda,136,4.189,0.332,1.069,0.443,0.356,0.060
Egypt,137,4.166,0.913,1.039,0.644,0.241,0.067
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.087
Togo,139,4.085,0.275,0.572,0.410,0.293,0.085
India,140,4.015,0.755,0.765,0.588,0.498,0.085
Liberia,141,3.975,0.073,0.922,0.443,0.370,0.033
Comoros,142,3.973,0.274,0.757,0.505,0.142,0.078
Madagascar,143,3.933,0.274,0.916,0.555,0.148,0.041
Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.093
Burundi,145,3.775,0.046,0.447,0.380,0.220,0.180
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.089
Haiti,147,3.597,0.323,0.688,0.449,0.026,0.110
Botswana,148,3.488,1.041,1.145,0.538,0.455,0.100
Syria,149,3.462,0.619,0.378,0.440,0.013,0.141
Malawi,150,3.410,0.191,0.560,0.495,0.443,0.089
Yemen,151,3.380,0.287,1.163,0.463,0.143,0.077
Rwanda,152,3.334,0.359,0.711,0.614,0.555,0.411
Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.147
Afghanistan,154,3.203,0.350,0.517,0.361,0.000,0.025
Central African Republic,155,3.083,0.026,0.000,0.105,0.225,0.035
South Sudan,156,2.853,0.306,0.575,0.295,0.010,0.091
